Title;Artist;Year;Duo;Explicit;"Date Added";Styles
Bright;Echosmith;2013;0;0;2015-04-01;Pop,Folk
Style;"Taylor Swift";2014;0;0;2015-01-26;Pop,Electro
Rehab;"Amy Winehouse";2006;0;0;2007-10-18;Soul
"Rather Be";"Clean Bandit";2014;0;0;2014-03-19;Electro
"Cette année-là";"Claude François";1976;0;0;2011-05-31;"French pop,Disco"
"We Are The World";"USA For Africa";1985;0;0;2008-05-06;Pop
"Sex On Fire";"Kings of Leon";2008;0;0;2011-05-31;Rock,Alternative
"You Are So Beautiful";"Joe Cocker";1972;0;0;2008-05-05;"Love,Pop,Soft rock"
"California Dreamin'";Sia;2015;0;0;2015-06-26;"Pop,TV & movie soundtrack"
"La Bamba";"Los Lobos";1985;0;0;2011-05-30;Latin,Pop,Traditionnal
"The Gambler";"Kenny Rogers";1978;0;0;2008-07-21;Country,Folk
"When The Saints Go Marching In (Big Band Version)";Traditional;1896;0;0;2011-05-30;Jazz,Oldies,Traditionnal
"I'm Gonna Be (500 Miles)";"The Proclaimers";1988;0;0;2013-12-05;Rock
FourFiveSeconds;Rihanna;2015;1;0;2015-03-14;Pop,Folk,Duet
"Don't Stop Me Now";Queen;1978;0;0;2007-09-03;Rock,Pop
"Proud Mary";"Creedence Clearwater Revival";1969;0;0;2007-05-04;Folk,Pop
"Hit The Road Jack";"Ray Charles";1960;0;0;2007-05-04;"Blues,Rock 'n Roll,Soul"
"Alexandrie Alexandra";"Claude François";1978;0;0;2014-07-28;"French pop,Disco"
"Bad Moon Rising";"Creedence Clearwater Revival";1968;0;0;2007-05-04;Rock
"I Won't Give Up";"Jason Mraz";2012;0;0;2012-06-15;Pop
"Allumer le feu";"Johnny Hallyday";1998;0;0;2011-05-30;"French pop,Rock"
"Little Red Wagon";"Miranda Lambert";2014;0;0;2014-09-22;Country
"Suspicious Minds";"Elvis Presley";1969;0;0;2007-05-04;"Rock 'n Roll"
"Under The Bridge";"Red Hot Chili Peppers";1991;0;0;2007-05-04;Rock,Alternative
