Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"You Are So Beautiful";"Joe Cocker";1972;0;0;2008-05-05;"Love,Pop,Soft rock"
Cool;"Kendji Girac";2014;0;0;2014-11-17;"French pop,Latin,Electro"
"Unchain My Heart";"Joe Cocker";1987;0;0;2011-05-31;Pop,Rock
"We Are The World";"USA For Africa";1985;0;0;2008-05-06;Pop
Rude;MAGIC!;2013;0;0;2014-01-20;Pop,Reggae
"When The Saints Go Marching In (Big Band Version)";Traditional;1896;0;0;2011-05-30;Jazz,Oldies,Traditionnal
"El mismo sol";"Alvaro Soler";2015;0;0;2015-06-15;Pop,Latin
"Baby Got Back";"Sir Mix-a-Lot";1992;0;1;2011-05-31;Rap,Humour
L'aventurier;Indochine;1982;0;0;2014-05-28;"French pop,80s"
"Titanium (Acoustic)";"David Guetta";2012;0;0;2013-03-26;Pop
"I'm Comin' Over";"Chris Young";2015;0;0;2015-08-28;"Country,Love,Soft rock"
"Jar Of Hearts";"Christina Perri";2010;0;0;2011-05-30;"Soft rock,Pop"
"The Best";"Tina Turner";1989;0;0;2012-01-27;Pop,Rock
Hallelujah;"Jeff Buckley";1994;0;0;2008-03-17;Folk
"Hit Me With Your Best Shot";"Pat Benatar";1980;0;0;2011-12-21;Rock
"Carol Of The Bells";"Christmas Carol";1916;0;0;2011-05-31;Christmas,Traditionnal
"Hot Stuff";"Donna Summer";1979;0;0;2011-05-30;Disco,Pop
"Do You Want To Build A Snowman";Frozen;2013;1;0;2015-04-08;"TV & movie soundtrack,Duet"
"Back To Black";"Amy Winehouse";2006;0;0;2008-03-25;Soul
"I'm A Believer";"The Monkees";1966;0;0;2011-11-14;Pop,Rock
"I Love This Bar";"Toby Keith";2003;0;0;2011-11-14;Country
"Love Shack";"The B-52's";1989;0;0;2012-01-31;80s,Rock,Pop
Celebration;"Kool And The Gang";1980;0;0;2007-05-31;Funk,Disco
"Every Breath You Take";"The Police";1983;0;0;2007-06-06;Pop,Rock
"You Shook Me All Night Long";AC/DC;1980;0;0;2007-07-16;Hard/Metal,Rock
"Shut Up And Dance";"Derek Ryan";2015;0;0;2015-10-09;Country,Rock
"Bring Me To Life";Evanescence;2003;1;0;2007-05-04;"Rock,Alternative,Punk/Grunge,TV & movie soundtrack,Duet"
"Feeling Good";"Nina Simone";1965;0;0;2011-05-31;Jazz,Blues
"Under The Bridge";"Red Hot Chili Peppers";1991;0;0;2007-05-04;Rock,Alternative
Reality;"Lost Frequencies";2015;0;0;2015-07-11;Pop,Electro,Dance
"Dream A Little Dream Of Me";"The Mamas And The Papas";1968;0;0;2012-01-31;Folk
Treasure;"Bruno Mars";2012;0;0;2013-04-26;Funk,Pop,Soul
"Rudolph The Red-Nosed Reindeer";"Dean Martin";1959;0;0;2014-11-12;Christmas,Oldies,Jazz
"Walkin' After Midnight";"Patsy Cline";1957;0;0;2012-01-31;Country
"(I Can't Get No) Satisfaction";"The Rolling Stones";1965;0;0;2011-05-31;"Rock,Rock 'n Roll"
"I Will Follow Him (Chariot)";"Sister Act";1992;0;0;2007-12-19;"Gospel,TV & movie soundtrack,Soul"
"Count On Me";"Bruno Mars";2010;0;0;2011-05-30;Pop,Soul
"Allumer le feu";"Johnny Hallyday";1998;0;0;2011-05-30;"French pop,Rock"
Hallelujah;"Leonard Cohen";1984;0;0;2011-05-30;Folk
Leef;"André Hazes Jr.";2015;0;0;2015-10-09;Schlager
"Wind Beneath My Wings";"Bette Midler";1988;0;0;2007-05-18;"Pop,TV & movie soundtrack"
"It's The Most Wonderful Time Of The Year";"Andy Williams";1963;0;0;2011-11-03;Christmas
"California Dreamin'";"The Mamas And The Papas";1966;1;0;2012-02-09;Pop,Folk,Duet
Mercy;Duffy;2008;0;0;2008-04-25;Soul,Pop
"Call Me Maybe";"Carly Rae Jepsen";2011;0;0;2012-06-04;"Pop,Dance,Teen pop"
"La salsa du démon";"Le Grand Orchestre du Splendid";1980;0;0;2014-10-03;"French pop,Humour,Ska"
"O Come All Ye Faithful";"Christmas Carol";1782;0;0;2011-05-30;Christmas
Là-bas;"Jean-Jacques Goldman";1987;1;0;2015-09-25;"French pop,Duet"
Royals;Lorde;2013;0;0;2013-07-12;Pop,Alternative,Electro
"Ca c'est vraiment toi";Téléphone;1982;0;0;2011-05-30;"Rock,French pop"
"I Don't Want To Miss A Thing";Aerosmith;1998;0;0;2011-05-30;"Pop,Rock,TV & movie soundtrack"
Bella;"Maître Gims";2013;0;0;2014-05-26;"French pop,Rap"
Clown;Soprano;2015;0;0;2015-06-08;"French pop,Rap,Electro"
Ironic;"Alanis Morissette";1996;0;0;2008-05-05;Pop,Rock
"Mon beau sapin";"Christmas Carol";1824;0;0;2008-06-26;Christmas,Traditionnal,Kids
"Oh, Pretty Woman";"Roy Orbison";1964;0;0;2008-08-22;"Rock 'n Roll,Pop"
"La vie en rose";"Edith Piaf";1942;0;0;2012-01-18;"French pop"
L-O-V-E;"Nat King Cole";1965;0;0;2008-07-24;Jazz,Oldies
"I Wanna Dance With Somebody";"Whitney Houston";1987;0;0;2012-03-05;Pop,80s
"I Have Nothing";"Whitney Houston";1992;0;0;2007-05-14;"TV & movie soundtrack,Love"
"You Raise Me Up";Westlife;2005;0;0;2007-05-24;Pop
"Santa Claus Is Comin' To Town";"Mariah Carey";1994;0;0;2011-05-30;Christmas,Pop
"We Are The Champions";Queen;1977;0;0;2007-05-04;Rock
"Simple Man";"Lynyrd Skynyrd";1973;0;0;2011-05-30;Rock,Hard/Metal,Country
"Love Is An Open Door";Frozen;2013;1;0;2014-03-31;"TV & movie soundtrack,Pop,Duet"
"Your Man";"Josh Turner";2005;0;0;2011-11-30;Country
Kryptonite;"3 Doors Down";2000;0;0;2008-03-21;Rock
"Don't Know Why";"Norah Jones";2001;0;0;2007-05-04;Jazz,Soul
"La bohème";"Charles Aznavour";1966;0;0;2011-07-29;"French pop"
"Blue Suede Shoes";"Elvis Presley";1956;0;0;2007-05-04;"Rock 'n Roll,Oldies"
Margaritaville;"Jimmy Buffett";1977;0;0;2011-05-30;Pop,Folk
"Don't Stop Me Now";Queen;1978;0;0;2007-09-03;Rock,Pop
Africa;Toto;1980;0;0;2007-07-06;Pop,Rock
"Le Jerk";"Thierry Hazard";1990;0;0;2012-08-08;"French pop,80s"
"I Wasn't Expecting That";"Jamie Lawson";2015;0;0;2015-06-05;Pop,Folk
"Ce rêve bleu";Aladdin;1992;1;0;2015-03-26;"TV & movie soundtrack,Duet,French pop,Kids"
"Let It Snow, Let It Snow, Let It Snow";"Lady Antebellum";2010;0;0;2011-12-12;Christmas,Country
"Beat It";"Michael Jackson";1983;0;0;2011-05-31;Rock
"Somebody To Love";Queen;1976;0;0;2008-01-23;Rock
"La Bamba";"Los Lobos";1985;0;0;2011-05-30;Latin,Pop,Traditionnal
"Son Of A Preacher Man";"Dusty Springfield";1969;0;0;2007-05-04;Oldies,Blues
"The Dance";"Garth Brooks";1989;0;0;2012-03-07;Country
"Don't Close Your Eyes";"Keith Whitley";1987;0;0;2012-11-19;Country
"Hound Dog";"Elvis Presley";1956;0;0;2007-09-25;Oldies,Rock
"That's Life";"Frank Sinatra";1966;0;0;2011-05-30;Oldies
"Always On My Mind";"Willie Nelson";1982;0;0;2012-07-03;Country
"Trap Queen";"Fetty Wap";2014;0;0;2015-08-04;Rap
"Three Little Birds";"Bob Marley";1977;0;0;2011-05-30;Reggae
"Georgia On My Mind";"Ray Charles";1960;0;0;2008-07-21;Soul,Jazz
"Le géant de papier";"Jean-Jacques Lafon";1985;0;0;2014-10-30;"French pop,Love"
Jolene;"Dolly Parton";1974;0;0;2011-05-31;Folk,Country
"Lips Are Movin";"Meghan Trainor";2014;0;0;2014-11-21;Pop,Soul,Electro
"All About That Bass";"Postmodern Jukebox";2014;0;0;2014-12-29;Jazz,Pop,Soul
"Silent Night";"Michael Bublé";2011;0;0;2011-11-22;Christmas
"I Want To Break Free";Queen;1984;0;0;2011-05-30;Pop,Rock
"Jailhouse Rock";"Elvis Presley";1957;0;0;2007-07-31;"Rock 'n Roll,Oldies,TV & movie soundtrack"
"Jingle Bell Rock";"Bobby Helms";1957;0;0;2011-05-31;"Christmas,Rock 'n Roll,Oldies"
"More Than Words";Extreme;1991;0;0;2011-05-30;"Soft rock"
"Knockin' On Heaven's Door";"Guns N' Roses";1992;0;0;2011-09-09;Rock
"Je te donne";"Jean-Jacques Goldman";1985;1;0;2015-10-06;"French pop,Duet"
"Let It Go";"James Bay";2014;0;0;2015-04-04;Pop,Rock
"Counting Stars";OneRepublic;2013;0;0;2013-07-17;Pop,Rock
"Suspicious Minds";"Elvis Presley";1969;0;0;2007-05-04;"Rock 'n Roll"
