Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Silent Night (Man Voice)";"Christmas Carol";1818;0;0;2011-05-30;Christmas,Traditionnal,Jazz
"Please Come Home For Christmas";"The Eagles";1978;0;0;2012-12-19;Christmas,Blues,Rock
"Oh Happy Day";"Sister Act";1993;0;0;2008-01-14;"Gospel,Musical,TV & movie soundtrack"
"Let Her Go";Passenger;2012;0;0;2012-12-14;Folk,Pop
"Proud Mary";"Tina Turner";1971;0;0;2007-12-21;Gospel,Rock,Soul
"Do You Want To Build A Snowman";Frozen;2013;1;0;2015-04-08;"TV & movie soundtrack,Duet"
Oublie-moi;"Coeur de pirate";2015;0;0;2015-10-07;"French pop"
"L'hymne à l'amour";"Edith Piaf";1949;0;0;2012-01-27;"French pop,Oldies"
"Ain't Nobody (Loves Me Better)  (Felix Jaehn Remix)";"Jasmine Thompson";2015;0;0;2015-06-26;Pop,Dance,Electro
"What Child Is This";"Carrie Underwood";2007;0;0;2011-12-27;Christmas
Titanium;"David Guetta";2011;0;0;2012-05-09;Pop,Electro
"Happy Xmas (War Is Over)";"Céline Dion";1998;0;0;2011-12-14;Christmas,Pop
"White Christmas";"The Drifters";1954;0;0;2011-11-22;Christmas,Oldies
"Strip It Down";"Luke Bryan";2015;0;0;2015-09-29;"Country,Soft rock,Love"
"While Shepherds Watched Their Flocks";"Christmas Carol";1822;0;0;2013-04-05;Christmas,Traditionnal
Wannabe;"Spice Girls";1996;0;0;2013-10-18;"Pop,Teen pop"
"Silent Night (Lord Of My Life)";"Lady Antebellum";2012;0;0;2015-11-30;Christmas,Country
"Holly Jolly Christmas";"Michael Bublé";2011;0;0;2011-11-25;Christmas,Pop,Jazz
"Jingle Bells";"Children's Chorus";1957;0;0;2011-12-09;Christmas,Kids
"I See Fire";"Ed Sheeran";2013;0;0;2013-11-22;"Folk,TV & movie soundtrack"
"Highway To Hell";AC/DC;1979;0;0;2011-05-31;Hard/Metal,Rock
"A Whole New World";Aladdin;1992;1;0;2015-03-24;"TV & movie soundtrack,Duet,Love"
"Winter Wonderland";"Dean Martin";1959;0;0;2015-11-10;Christmas,Oldies
"I Saw Mommy Kissing Santa Claus";"The Ronettes";1963;0;0;2011-09-23;Christmas,Oldies
"La bohème";"Charles Aznavour";1966;0;0;2011-07-29;"French pop"
Emmenez-moi;"Charles Aznavour";1967;0;0;2011-07-29;"French pop"
"Black Magic";"Little Mix";2015;0;0;2015-08-31;"Teen pop,Pop,R&B,Electro"
"Bad Moon Rising";"Creedence Clearwater Revival";1968;0;0;2007-05-04;Rock
"If I Ain't Got You";"Alicia Keys";2004;0;0;2007-06-25;Soul,Jazz
"Navidad, Navidad";"Christmas Carol";1857;0;0;2011-11-28;Christmas,Traditionnal
"El perdón";"Nicky Jam";2015;1;0;2015-06-04;Pop,Latin,Duet
"Wonderful Tonight";"Eric Clapton";1977;0;0;2007-12-27;Folk,Rock
"Have Yourself A Merry Little Christmas";"Kelly Clarkson";2013;0;0;2013-11-27;Christmas
"A Holly Jolly Christmas";"Lady Antebellum";2012;0;0;2012-12-04;Christmas,Country
"Blank Space";"Taylor Swift";2014;0;0;2015-01-12;Pop
"Locked Away";"Adam Levine";2015;0;0;2015-10-20;Pop,R&B
"Happy Christmas (War Is Over)";"The Plastic Ono Band";1972;0;0;2011-12-02;"Christmas,Soft rock"
"Lean On";"Major Lazer";2015;0;0;2015-06-15;Dance,Electro,Pop,Rap
"(Sittin' On) The Dock Of The Bay";"Otis Redding";1968;0;0;2012-02-02;Soul
"Mag ik dan bij jou";"Claudia de Breij";2011;0;0;2014-12-23;"Soft rock"
"Last Christmas";"Taylor Swift";2007;0;0;2011-11-16;Christmas,Country,Pop
"I Am A Man Of Constant Sorrow";"Soggy Bottom Boys";2002;0;0;2007-05-04;"Country,TV & movie soundtrack"
"It Came Upon A Midnight Clear";"Christmas Carol";1849;0;0;2011-05-30;Christmas,Christian,Traditionnal
"Hark! The Herald Angels Sing (slow version)";"Christmas Carol";1855;0;0;2011-12-07;Christmas,Christian,Traditionnal
"(I've Had) The Time Of My Life";"Dirty Dancing";1987;1;0;2007-10-19;"TV & movie soundtrack,Love,Duet"
"White Christmas";"Elvis Presley";1957;0;0;2007-11-27;Christmas,Oldies
"Ding Dong Merrily on High";"Christmas Carol";1519;0;0;2013-04-04;Christmas,Traditionnal
"O Come, O Come, Emmanuel";"Christmas Carol";1947;0;0;2011-05-31;Christmas,Traditionnal
"L'envie d'aimer";"Les Dix Commandements";2000;0;0;2011-05-31;"French pop,Musical,Love"
"The Christmas Song";"Peggy Lee";1960;0;0;2015-10-29;Christmas,Oldies
"Femme libérée";"Cookie Dingler";1984;0;0;2014-04-22;"French pop"
"Love Me Tender";"Elvis Presley";1956;0;0;2007-05-04;Love,Oldies
"Feliz Navidad";"Boney M";1981;0;0;2015-11-02;Christmas,Disco
"Counting Stars";OneRepublic;2013;0;0;2013-07-17;Pop,Rock
"Winter Wonderland";"Elvis Presley";1971;0;0;2014-12-04;Christmas,Blues,Oldies
"Have You Ever Seen The Rain?";"Creedence Clearwater Revival";1970;0;0;2011-05-31;Folk
Budapest;"George Ezra";2013;0;0;2014-03-26;"Alternative,Folk,Soft rock"
Sugar;"Robin Schulz";2015;0;0;2015-09-28;Electro,Dance
"Merry Christmas Darling";"The Carpenters";1970;0;0;2013-09-27;Christmas,Pop,Love
"Give Me One Reason";"Tracy Chapman";1995;0;0;2007-07-25;"Blues,Soft rock"
"Turn The Page";"Bob Seger";1976;0;0;2011-05-31;Rock
"Mon mec à moi";"Patricia Kaas";1988;0;0;2013-05-16;"French pop"
"Winter Wonderland";"Perry Como";1959;0;0;2011-11-29;Christmas,Oldies,Jazz
"J'ai encore rêvé d'elle";"Il était une fois";1975;1;0;2012-02-07;"French pop,Duet,Love"
"Let It Snow! Let It Snow! Let It Snow!";"Martina McBride";1998;0;0;2015-11-30;Christmas,Country
"Once in Royal David's City";"Christmas Carol";1848;0;0;2011-11-29;Christmas,Traditionnal
"Barbie Girl";Aqua;1997;1;0;2008-02-07;"Dance,Teen pop,Duet"
"Christmas (Baby Please Come Home)";"Michael Bublé";2011;0;0;2011-11-19;Christmas,Pop
"Feeling Good";"Nina Simone";1965;0;0;2011-05-31;Jazz,Blues
"Up On The House Top";"Christmas Carol";1864;0;0;2011-05-30;Christmas,Traditionnal
"He Stopped Loving Her Today";"George Jones";1980;0;0;2011-11-21;Country
"Georgia On My Mind";"Ray Charles";1960;0;0;2008-07-21;Soul,Jazz
"Before He Cheats";"Carrie Underwood";2006;0;0;2007-12-27;Country,Pop,Rock
"Leise rieselt der schnee";"Andrea Berg";2008;0;0;2013-07-03;Christmas,Schlager
"I'll Be Home For Christmas";"Amy Grant";1992;0;0;2015-02-09;Christmas,Jazz
"Back To Black";"Amy Winehouse";2006;0;0;2008-03-25;Soul
"Girls Just Wanna Have Fun";"Cyndi Lauper";1983;0;0;2008-01-14;"80s,Pop,TV & movie soundtrack"
"Tears In Heaven";"Eric Clapton";1992;0;0;2007-05-29;Blues,Folk
"Proud Mary";"Creedence Clearwater Revival";1969;0;0;2007-05-04;Folk,Pop
"Color Gitano";"Kendji Girac";2014;0;0;2014-08-07;"French pop,Latin"
"White Christmas";"Taylor Swift";2007;0;0;2011-12-12;Christmas,Country
"La vie en rose";"Edith Piaf";1942;0;0;2012-01-18;"French pop"
"Wrecking Ball";"Miley Cyrus";2013;0;0;2013-09-26;"Pop,Teen pop"
"Le Jerk";"Thierry Hazard";1990;0;0;2012-08-08;"French pop,80s"
"Merry Xmas Everybody";Slade;1973;0;0;2014-12-18;Christmas,Rock
Celebration;"Kool And The Gang";1980;0;0;2007-05-31;Funk,Disco
"Mustang Sally";"The Commitments";1991;0;0;2008-07-17;"Soul,Blues,TV & movie soundtrack"
"Valerie ('68 version)";"Amy Winehouse";2011;0;0;2012-07-18;Soul,Jazz
"When The Saints Go Marching In (Big Band Version)";Traditional;1896;0;0;2011-05-30;Jazz,Oldies,Traditionnal
Diamonds;Rihanna;2012;0;0;2012-12-06;Pop,Electro,Soul
"Suspicious Minds";"Elvis Presley";1969;0;0;2007-05-04;"Rock 'n Roll"
"Eye Of The Tiger";Survivor;1982;0;0;2014-03-07;"Rock,TV & movie soundtrack"
"Silver Bells";"Elvis Presley";1971;0;0;2014-11-27;Christmas,Oldies
"All I Want For Christmas Is You";Glee;2010;0;0;2013-12-19;"Christmas,TV & movie soundtrack,Pop"
"Bad Blood";"Taylor Swift";2014;0;0;2015-01-12;Pop,Electro
"Silent Night";"Garth Brooks";1993;0;0;2011-11-16;Christmas,Christian,Country
"Let It Go";"James Bay";2014;0;0;2015-04-04;Pop,Rock
Rehab;"Amy Winehouse";2006;0;0;2007-10-18;Soul
"God Rest Ye Merry, Gentlemen";"Christmas Carol";1830;0;0;2011-05-30;Christmas,Traditionnal,Christian
"It's Beginning To Look A Lot Like Christmas";"Bing Crosby";1950;0;0;2015-02-10;Christmas,Oldies
"Santa Baby";"Taylor Swift";2007;0;0;2011-11-28;Christmas,Country,Pop
"I Wanna Dance With Somebody";"Whitney Houston";1987;0;0;2012-03-05;Pop,80s
"Auld Lang Syne";"Christmas Carol";1788;0;0;2011-05-30;Christmas,Celtic,Traditionnal
"I Want It That Way";"Backstreet Boys";1999;0;0;2007-09-12;"Teen pop"
"Ice Ice Baby";"Vanilla Ice";1990;0;0;2011-05-30;Rap
